vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,accuracy,latency
4,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,-1,74.73375,3.3997233786582948
4,1,1,1,1,1,0,0,0,1,0,0,2,1,0,1,1,2,0,0,0,0,-1,73.455,3.416692582845688
4,0,0,1,1,0,0,1,0,1,0,1,2,1,0,1,1,1,1,0,0,0,-1,69.83,2.449154596567154
2,0,2,1,0,0,1,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.62125000000001,1.8856564493179322
4,1,2,0,1,1,0,1,1,0,1,1,2,1,1,0,0,0,1,0,0,0,-1,73.23375,3.4320630285739897
2,1,1,0,0,0,1,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.03750000000001,2.090545998096466
2,0,2,1,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.54499999999999,2.0494641370773317
4,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,-1,70.64125,2.752235426425934
4,1,2,0,0,0,0,0,1,0,1,1,2,0,1,1,0,2,1,1,1,1,-1,72.3525,3.945606833457947
2,0,1,1,0,1,0,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.57624999999999,2.5599408288002015
2,1,2,1,1,0,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.41375000000001,2.1770126025676726
4,0,1,0,1,1,1,2,0,1,0,0,1,1,1,0,0,0,1,1,1,1,-1,69.88999999999999,3.205347762107849
4,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,2,1,1,0,0,-1,69.96625,2.458478117465973
4,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,-1,70.13499999999999,2.7049903807640074
4,1,2,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,-1,73.85749999999999,2.7853783688545226
4,0,1,0,1,0,1,1,0,1,0,0,2,1,1,1,0,1,0,0,1,1,-1,70.57375,2.708544283390045
4,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,-1,73.08874999999999,2.8121373369693754
4,0,2,1,1,0,1,1,1,0,1,0,2,1,0,1,0,0,0,1,0,0,-1,70.18124999999999,2.665966336965561
4,0,1,0,0,0,1,2,0,0,1,0,1,0,0,1,1,0,1,1,1,1,-1,69.89125,2.868569556951523
