vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,accuracy,latency,memory
4,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,-1,74.73375,0.0358733034133911,5309.12
4,1,1,1,1,1,0,0,0,1,0,0,2,1,0,1,1,2,0,0,0,0,-1,73.455,0.0320452833175659,5617.46
4,0,0,1,1,0,0,1,0,1,0,1,2,1,0,1,1,1,1,0,0,0,-1,69.83,0.0244236898422241,5367.07
2,0,2,1,0,0,1,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.62125000000001,0.0134277176856994,5079.69
4,1,2,0,1,1,0,1,1,0,1,1,2,1,1,0,0,0,1,0,0,0,-1,73.23375,0.0330123496055603,5364.5
2,1,1,0,0,0,1,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.03750000000001,0.011093246936798,5106.79
2,0,2,1,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.54499999999999,0.0164845466613769,4855.34
4,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,-1,70.64125,0.0326043462753295,5286.18
4,1,2,0,0,0,0,0,1,0,1,1,2,0,1,1,0,2,1,1,1,1,-1,72.3525,0.0417941045761108,5624.66
2,0,1,1,0,1,0,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.57624999999999,0.0184079575538635,4729.86
2,1,2,1,1,0,1,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.41375000000001,0.0122004866600036,4859.36
4,0,1,0,1,1,1,2,0,1,0,0,1,1,1,0,0,0,1,1,1,1,-1,69.88999999999999,0.0293976306915283,5230.09
4,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,2,1,1,0,0,-1,69.96625,0.028606858253479,5596.12
4,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,-1,70.13499999999999,0.022937319278717,5229.3
4,1,2,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,-1,73.85749999999999,0.0173004174232482,5280.69
4,0,1,0,1,0,1,1,0,1,0,0,2,1,1,1,0,1,0,0,1,1,-1,70.57375,0.0278893303871154,5364.67
4,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,-1,73.08874999999999,0.020004539489746,5227.62
4,0,2,1,1,0,1,1,1,0,1,0,2,1,0,1,0,0,0,1,0,0,-1,70.18124999999999,0.0324881076812744,5364.5
4,0,1,0,0,0,1,2,0,0,1,0,1,0,0,1,1,0,1,1,1,1,-1,69.89125,0.0354877495765686,5288.62
4,1,2,0,0,1,0,2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,-1,73.75125,0.0321439743041992,5226.85
2,0,1,1,1,0,0,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.24,0.0077181315422058,4689.51
2,0,2,0,1,1,1,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.1575,0.0159201979637145,4854.99
4,0,2,1,0,1,1,1,1,1,1,1,0,0,0,1,0,2,0,0,1,1,-1,71.77250000000001,0.0443789744377136,5620.1
2,1,1,0,1,1,0,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.07,0.01308602809906,4713.29
4,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,2,0,1,1,1,-1,71.0525,0.037828414440155,5623.59
2,0,0,1,1,0,1,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.3775,0.0088703536987304,4857.23
4,1,0,0,0,1,0,2,0,0,1,1,2,0,0,1,1,0,1,0,0,0,-1,72.785,0.0400540447235107,5366.26
4,1,2,0,1,1,1,2,0,1,0,1,0,0,1,1,1,0,0,1,0,0,-1,71.9425,0.0341351056098938,5285.74
2,0,0,0,0,1,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.705,0.0122756671905517,4768.69
