gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,latency_ms,valid_loss
6,4,0,0,2,1,0,1,2,2,1,2,1,2,-1,-1,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,0,0,2,2,-1,-1,141.85677766799927,1.3101403192806975
6,1,1,1,1,0,1,0,2,0,0,-1,-1,1,-1,0,0,0,0,1,0,1,1,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,41.41182601451874,2.2646649954862683
6,1,1,0,2,1,0,1,0,2,1,-1,-1,-1,-1,-1,0,1,1,1,1,0,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,45.77858746051788,1.4844878590652262
6,1,1,1,0,1,1,1,0,0,1,2,-1,-1,-1,0,0,1,1,1,1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,2,-1,-1,44.05774176120758,1.515803317143534
6,1,1,1,1,0,1,0,2,0,0,-1,-1,-1,-1,-1,0,0,0,1,0,1,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,41.41182601451874,2.2646649954862683
6,2,1,1,2,0,2,2,2,0,1,2,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,0,-1,2,-1,-1,77.34128832817078,1.35739537571581
6,1,1,1,1,0,1,0,2,0,0,-1,-1,1,-1,0,0,0,0,1,0,1,1,0,-1,0,-1,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,41.41182601451874,2.2646649954862683
6,2,1,1,0,1,0,0,0,0,1,1,-1,-1,-1,-1,0,1,1,1,0,1,1,1,-1,-1,0,-1,1,1,-1,-1,-1,-1,1,-1,0,-1,-1,0,77.24321484565735,1.364789028557269
6,2,1,1,0,0,1,1,0,0,1,0,-1,-1,-1,-1,0,1,1,1,1,1,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,76.28361582756042,1.3850802150962274
6,1,1,0,2,1,0,1,0,2,1,-1,-1,-1,-1,-1,0,1,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,45.77858746051788,1.4844878590652262
