gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,latency_ms,valid_loss
6,5,0,1,0,2,2,1,2,0,2,0,2,1,1,-1,0,1,1,1,1,1,1,1,1,0,0,-1,1,1,1,1,0,-1,0,0,0,0,1,-1,172.5537896156311,1.3050303651149984
6,1,1,1,0,0,1,0,0,0,1,-1,-1,-1,-1,-1,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,42.78342425823212,1.540139028332568
6,1,1,0,1,1,2,1,1,1,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,46.14597260951996,1.4723664502922247
6,2,0,0,1,0,2,1,0,0,2,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,79.024738073349,1.3547476185527996
6,3,1,1,2,1,0,2,0,2,2,1,2,-1,-1,-1,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,0,2,0,-1,-1,-1,109.27985906600952,1.3214539617619656
6,5,0,0,2,2,2,2,2,0,2,0,2,1,1,-1,0,1,1,1,0,1,1,1,1,1,0,-1,1,1,1,1,0,-1,0,0,1,2,1,-1,172.89230823516846,1.3045893726544944
6,5,0,0,1,2,1,0,2,2,2,0,2,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,0,-1,0,0,0,0,1,-1,173.204243183136,1.303954000704661
6,1,1,1,1,0,2,2,0,1,1,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,44.82077658176422,1.5006761229036456
6,2,0,0,1,1,1,2,2,1,2,1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,78.61360311508179,1.3554118691554935
6,1,1,1,0,0,1,0,0,0,1,-1,-1,-1,-1,-1,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,43.089017271995544,1.5262986644934924
6,1,0,0,1,1,1,1,2,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,47.743210196495056,1.4709290794359238
6,3,1,1,0,2,1,2,2,2,2,0,2,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,0,-1,-1,-1,108.3658218383789,1.324688399738037
6,2,1,0,1,0,2,2,0,0,2,1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,77.30211019515991,1.3572068326486995
6,1,1,1,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,0,0,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,40.62547981739044,2.2698399573098267
6,1,1,1,1,0,1,0,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,39.195844531059265,2.3947097483253823
6,2,1,1,0,0,2,0,1,0,1,1,-1,-1,-1,-1,0,1,1,1,0,1,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,76.04079842567444,1.3780984973504564
6,1,1,1,0,1,0,2,1,0,0,-1,-1,-1,-1,-1,0,1,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,42.44394898414612,2.2341548214295583
6,1,1,0,1,1,2,1,1,1,2,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,46.856316924095154,1.4713314651573708
6,1,1,1,0,0,1,0,1,0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,38.23235332965851,2.4925000094804655
6,3,1,0,1,1,2,2,2,2,2,1,2,-1,-1,-1,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,2,-1,-1,-1,108.64572525024414,1.3241576064441496
6,3,1,1,1,2,1,2,2,1,2,0,2,-1,-1,-1,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,0,-1,-1,-1,109.11511182785034,1.3240661059091394
6,1,0,0,1,1,1,2,2,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,47.98588454723358,1.4707660417450383
6,3,1,1,2,2,0,2,2,2,2,1,2,-1,-1,-1,0,1,1,1,0,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,0,2,0,-1,-1,-1,108.94268751144409,1.3241234355789009
6,6,0,0,1,1,2,1,1,1,1,1,2,1,2,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,2,1,1,203.72707843780518,1.299292322027199
6,1,1,1,0,1,1,1,0,1,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,44.21490132808685,1.5176906828754382
6,1,1,1,0,0,1,1,0,0,1,-1,-1,-1,-1,-1,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,43.36823523044586,1.525114065167759
6,2,1,1,0,0,1,1,0,1,1,1,-1,-1,-1,-1,0,0,1,1,0,1,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,75.42169690132141,1.3909476944521457
