gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,bleu
6,5,0,1,0,2,2,1,2,0,2,0,2,1,1,-1,0,1,1,1,1,1,1,1,1,0,0,-1,1,1,1,1,0,-1,0,0,0,0,1,-1,33.43
6,1,1,1,0,0,1,0,0,0,1,-1,-1,-1,-1,-1,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,29.81
6,1,1,0,1,1,2,1,1,1,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,31.05
6,2,0,0,1,0,2,1,0,0,2,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,32.9
6,3,1,1,2,1,0,2,0,2,2,1,2,-1,-1,-1,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,0,2,0,-1,-1,-1,33.39
6,5,0,0,2,2,2,2,2,0,2,0,2,1,1,-1,0,1,1,1,0,1,1,1,1,1,0,-1,1,1,1,1,0,-1,0,0,1,2,1,-1,33.29
6,5,0,0,1,2,1,0,2,2,2,0,2,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,0,-1,0,0,0,0,1,-1,33.63
6,1,1,1,1,0,2,2,0,1,1,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,30.28
6,2,0,0,1,1,1,2,2,1,2,1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,33.05
6,1,1,1,0,0,1,0,0,0,1,-1,-1,-1,-1,-1,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,30.08
6,1,0,0,1,1,1,1,2,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,30.9
6,3,1,1,0,2,1,2,2,2,2,0,2,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,0,-1,-1,-1,33.39
6,2,1,0,1,0,2,2,0,0,2,1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,32.86
6,1,1,1,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,0,0,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,9.98
6,1,1,1,1,0,1,0,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,8.27
6,2,1,1,0,0,2,0,1,0,1,1,-1,-1,-1,-1,0,1,1,1,0,1,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,32.5
6,1,1,1,0,1,0,2,1,0,0,-1,-1,-1,-1,-1,0,1,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,10.44
6,1,1,0,1,1,2,1,1,1,2,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,30.97
6,1,1,1,0,0,1,0,1,0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,9.06
6,3,1,0,1,1,2,2,2,2,2,1,2,-1,-1,-1,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,2,-1,-1,-1,33.59
6,3,1,1,1,2,1,2,2,1,2,0,2,-1,-1,-1,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,0,-1,-1,-1,33.36
